U.S. Energy Information Administration,,,,,,,,,,,,,
February 2020 Monthly Energy Review,,,,,,,,,,,,,
,,,,,,,,,,,,,
0,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Release Date: February 25, 2020",,,,,,,,,,,,,
"Next Update: March 26, 2020",,,,,,,,,,,,,
,,,,,,,,,,,,,
Table 1.2 Primary Energy Production by Source,,,,,,,,,,,,,
,,,,,,,,,,,,,
Month,Coal Production,Natural Gas (Dry) Production,Crude Oil Production,Natural Gas Plant Liquids Production,Total Fossil Fuels Production,Nuclear Electric Power Production,Hydroelectric Power Production,Geothermal Energy Production,Solar Energy Production,Wind Energy Production,Biomass Energy Production,Total Renewable Energy Production,Total Primary Energy Production
,(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu)
01/01/1973,1.166486,1.908249,1.649833,0.209366,4.933934,0.068103,0.272703,0.001491,Not Available,Not Available,0.129787,0.403981,5.406018
02/01/1973,1.086072,1.922543,1.525783,0.196405,4.730803,0.064634,0.242199,0.001363,Not Available,Not Available,0.117338,0.3609,5.156337
03/01/1973,1.196571,1.86843,1.667094,0.216151,4.948246,0.072494,0.26881,0.001412,Not Available,Not Available,0.129938,0.400161,5.420901
04/01/1973,1.11223,1.777561,1.616791,0.211002,4.717583,0.06407,0.253185,0.001649,Not Available,Not Available,0.125636,0.38047,5.162124
05/01/1973,1.216978,1.859241,1.665377,0.216746,4.958342,0.062111,0.26077,0.001537,Not Available,Not Available,0.129834,0.392141,5.412594
06/01/1973,1.103861,1.802065,1.603224,0.20824,4.717391,0.073968,0.249859,0.001763,Not Available,Not Available,0.125611,0.377232,5.168591
07/01/1973,1.034037,1.841884,1.65724,0.216461,4.749622,0.07589,0.23567,0.001869,Not Available,Not Available,0.129787,0.367325,5.192838
08/01/1973,1.319832,1.857199,1.648505,0.217816,5.043352,0.084883,0.222077,0.001762,Not Available,Not Available,0.129918,0.353757,5.481992
09/01/1973,1.142385,1.803086,1.577362,0.209977,4.73281,0.085724,0.179733,0.001492,Not Available,Not Available,0.125782,0.307006,5.12554
10/01/1973,1.285586,1.836779,1.658452,0.218865,4.999682,0.081971,0.191723,0.00176,Not Available,Not Available,0.12997,0.323453,5.405107
11/01/1973,1.178337,1.825548,1.594008,0.21394,4.811834,0.088773,0.210285,0.001889,Not Available,Not Available,0.125643,0.337817,5.238423
12/01/1973,1.149749,1.886808,1.629568,0.215412,4.881536,0.087557,0.274435,0.002435,Not Available,Not Available,0.129824,0.406694,5.375787
01/01/1974,1.251148,1.895424,1.60631,0.209424,4.962306,0.084855,0.304506,0.002154,Not Available,Not Available,0.130807,0.437467,5.484628
02/01/1974,1.16539,1.728512,1.484696,0.192407,4.571004,0.090577,0.27995,0.001901,Not Available,Not Available,0.118091,0.399942,5.061523
03/01/1974,1.195337,1.860608,1.611977,0.214636,4.882558,0.097966,0.290582,0.002165,Not Available,Not Available,0.130727,0.423474,5.403998
