U.S. Energy Information Administration,,,,,,,,,,,,
February 2020 Monthly Energy Review,,,,,,,,,,,,
,,,,,,,,,,,,
0,,,,,,,,,,,,
,,,,,,,,,,,,
"Release Date: February 25, 2020",,,,,,,,,,,,
"Next Update: March 26, 2020",,,,,,,,,,,,
,,,,,,,,,,,,
Table 1.3 Primary Energy Consumption by Source,,,,,,,,,,,,
,,,,,,,,,,,,
Month,Coal Consumption,Natural Gas Consumption (Excluding Supplemental Gaseous Fuels),Petroleum Consumption (Excluding Biofuels),Total Fossil Fuels Consumption,Nuclear Electric Power Consumption,Hydroelectric Power Consumption,Geothermal Energy Consumption,Solar Energy Consumption,Wind Energy Consumption,Biomass Energy Consumption,Total Renewable Energy Consumption,Total Primary Energy Consumption
,(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu),(Quadrillion Btu)
01/01/1973,1.166191,2.397308,3.185268,6.747651,0.068103,0.272703,0.001491,Not Available,Not Available,0.129787,0.403981,7.223873
02/01/1973,1.050588,2.170646,2.941986,6.163095,0.064634,0.242199,0.001363,Not Available,Not Available,0.117338,0.3609,6.592366
03/01/1973,1.046856,2.057315,2.942485,6.044647,0.072494,0.26881,0.001412,Not Available,Not Available,0.129938,0.400161,6.521439
04/01/1973,0.998979,1.873535,2.621315,5.493184,0.06407,0.253185,0.001649,Not Available,Not Available,0.125636,0.38047,5.941729
05/01/1973,1.014502,1.765309,2.836567,5.613551,0.062111,0.26077,0.001537,Not Available,Not Available,0.129834,0.392141,6.07194
06/01/1973,1.050077,1.566214,2.731435,5.347479,0.073968,0.249859,0.001763,Not Available,Not Available,0.125611,0.377232,5.802683
07/01/1973,1.110438,1.590718,2.80454,5.504556,0.07589,0.23567,0.001869,Not Available,Not Available,0.129787,0.367325,5.951909
08/01/1973,1.135679,1.615222,2.999441,5.748879,0.084883,0.222077,0.001762,Not Available,Not Available,0.129918,0.353757,6.191657
09/01/1973,1.057732,1.559067,2.761173,5.376782,0.085724,0.179733,0.001492,Not Available,Not Available,0.125782,0.307006,5.773515
10/01/1973,1.083177,1.743868,2.936519,5.7653,0.081971,0.191723,0.00176,Not Available,Not Available,0.12997,0.323453,6.174862
11/01/1973,1.08859,1.945005,3.053629,6.08844,0.088773,0.210285,0.001889,Not Available,Not Available,0.125643,0.337817,6.519033
12/01/1973,1.16868,2.227822,2.991666,6.388515,0.087557,0.274435,0.002435,Not Available,Not Available,0.129824,0.406694,6.886904
01/01/1974,1.145845,2.28352,2.944909,6.378043,0.084855,0.304506,0.002154,Not Available,Not Available,0.130807,0.437467,6.904043
02/01/1974,1.036439,2.103296,2.677772,5.820458,0.090577,0.27995,0.001901,Not Available,Not Available,0.118091,0.399942,6.3143
03/01/1974,1.050801,2.051072,2.740105,5.845649,0.097966,0.290582,0.002165,Not Available,Not Available,0.130727,0.423474,6.370767
04/01/1974,0.994963,1.731584,2.624656,5.355618,0.079566,0.293702,0.002039,Not Available,Not Available,0.126583,0.422323,5.861066
05/01/1974,1.029181,1.646592,2.678975,5.359907,0.073242,0.294828,0.00204,Not Available,Not Available,0.130789,0.427657,5.864485
06/01/1974,1.014433,1.473536,2.65905,5.150392,0.079015,0.280695,0.001975,Not Available,Not Available,0.126611,0.409281,5.642248
