U.S. Energy Information Administration,,,,,,,,,,
February 2020 Monthly Energy Review,,,,,,,,,,
,,,,,,,,,,
0,,,,,,,,,,
,,,,,,,,,,
"Release Date: February 25, 2020",,,,,,,,,,
"Next Update: March 26, 2020",,,,,,,,,,
,,,,,,,,,,
"Table 1.7 Primary Energy Consumption, Energy Expenditures, and Carbon Dioxide Emissions Indicators",,,,,,,,,,
,,,,,,,,,,
Year,Total Primary Energy Consumption,Total Primary Energy Consumption per Capita,Total Primary Energy Consumption per Real Dollar of GDP,Energy Expenditures,Energy Expenditures per Capita,Energy Expenditures as Share of GDP,Energy Expenditures as Share of Gross Output,Total Energy CO2 Emissions,Total Energy CO2 Emissions per Capita,Total Energy CO2 Emissions per Real Dollar of GDP
,(Quadrillion Btu),(Million Btu),(Thousand Btu per Chained (2012) Dollar),(Million Nominal Dollars),(Nominal Dollars),(Percent),(Percent),(Million Metric Tons Carbon Dioxide),(Metric Tons Carbon Dioxide),(Metric Tons Carbon Dioxide per Million Chained (2012) Dollars)
1949,31.967775,214,15.18,Not Available,Not Available,Not Available,Not Available,2206.691,14.8,1048
1950,34.598567,227,15.11,Not Available,Not Available,Not Available,Not Available,2382.046,15.6,1040
1951,36.953661,239,14.94,Not Available,Not Available,Not Available,Not Available,2526.687,16.3,1021
1952,36.726037,233,14.26,Not Available,Not Available,Not Available,Not Available,2473.374,15.7,961
1953,37.640598,235,13.96,Not Available,Not Available,Not Available,Not Available,2536.893,15.8,941
1954,36.61354,225,13.66,Not Available,Not Available,Not Available,Not Available,2422.253,14.9,904
1955,40.178285,242,13.99,Not Available,Not Available,Not Available,Not Available,2684.786,16.2,935
1956,41.721757,247,14.23,Not Available,Not Available,Not Available,Not Available,2777.043,16.4,947
1957,41.753909,243,13.95,Not Available,Not Available,Not Available,Not Available,2756.562,16,921
1958,41.60928,238,14,Not Available,Not Available,Not Available,Not Available,2703.189,15.5,910
1959,43.422965,244,13.66,Not Available,Not Available,Not Available,Not Available,2807.171,15.8,883
1960,45.040732,249,13.82,Not Available,Not Available,Not Available,Not Available,2914.009,16.1,894
1961,45.690782,249,13.67,Not Available,Not Available,Not Available,Not Available,2942.791,16,880
1962,47.775047,256,13.46,Not Available,Not Available,Not Available,Not Available,3064.923,16.4,864
1963,49.588632,262,13.39,Not Available,Not Available,Not Available,Not Available,3184.517,16.8,860
1964,51.755425,270,13.22,Not Available,Not Available,Not Available,Not Available,3316.753,17.3,847
1965,53.953222,278,12.94,Not Available,Not Available,Not Available,Not Available,3461.741,17.8,830
1966,56.949167,290,12.81,Not Available,Not Available,Not Available,Not Available,3654.179,18.6,822
1967,58.89482,296,12.89,Not Available,Not Available,Not Available,Not Available,3749.382,18.9,821
1968,62.40148,311,13.02,Not Available,Not Available,Not Available,Not Available,3964.523,19.8,827
1969,65.596259,324,13.27,Not Available,Not Available,Not Available,Not Available,4134.687,20.4,837
1970,67.816828,331,13.7,82874.77,404,7.7,4.4,4261.308,20.8,861
1971,69.260271,334,13.54,90037.83,434,7.7,4.4,4311.927,20.8,843
1972,72.660036,346,13.5,98070.23,467,7.7,4.3,4532.008,21.6,842
1973,75.65228,357,13.3,111894.17,528,7.9,4.4,4721.985,22.3,830
1974,73.929322,346,13.07,153369.01,717,9.9,5.3,4561.227,21.3,806
1975,71.931011,333,12.74,171853.74,796,10.2,5.6,4426.421,20.5,784
1976,75.939029,348,12.77,193915.85,889,10.4,5.6,4694.157,21.5,789
1977,77.919991,354,12.52,220499.07,1001,10.6,5.7,4835.525,22,777
1978,79.906703,359,12.16,239280.18,1075,10.2,5.5,4883.91,21.9,744
1979,80.811788,359,11.93,297574.63,1322,11.3,6,4946.627,22,730
1980,78.021113,343,11.54,374350.01,1647,13.1,6.9,4750.409,20.9,703
1981,76.057187,331,10.97,427901.18,1865,13.3,7.1,4627.298,20.2,668
1982,73.046189,315,10.73,426482.04,1841,12.8,6.9,4394.16,19,646
1983,72.915394,312,10.24,417621.52,1786,11.5,6.3,4370.655,18.7,614
1984,76.570697,325,10.03,435312.89,1846,10.8,6,4596.159,19.5,602
1985,76.334135,321,9.6,438343.15,1842,10.1,5.6,4587.08,19.3,577
1986,76.598888,319,9.31,384090.9,1599,8.4,4.8,4598.319,19.1,559
1987,79.008203,326,9.28,397626.64,1641,8.2,4.6,4756.461,19.6,559
1988,82.659169,338,9.32,411568.41,1683,7.9,4.4,4980.694,20.4,562
1989,84.739993,343,9.22,439051.27,1779,7.8,4.4,5067.911,20.5,551
1990,84.43286,338,9.02,474652.2,1901,8,4.5,5039.904,20.2,538
1991,84.3803,334,9.02,472439.63,1867,7.7,4.4,4994.607,19.7,534
1992,85.724885,334,8.85,476844.99,1859,7.3,4.2,5094.939,19.9,526
1993,87.265888,336,8.77,492274.6,1894,7.2,4.1,5185.75,20,521
1994,88.983234,338,8.6,504856.36,1919,6.9,3.9,5263.554,20,508
1995,90.930704,341,8.55,514623.52,1933,6.7,3.8,5323.207,20,501
1996,93.934511,349,8.52,560292.89,2080,6.9,3.9,5512.12,20.5,500
1997,94.506999,347,8.2,567961.81,2083,6.6,3.7,5582.872,20.5,485
1998,94.92019,344,7.88,526282.64,1908,5.8,3.2,5631.4,20.4,468
1999,96.544524,346,7.66,558626.72,2002,5.8,3.2,5692.972,20.4,451
2000,98.702224,350,7.52,687710.87,2437,6.7,3.7,5866.555,20.8,447
2001,96.063734,337,7.24,696242.14,2443,6.6,3.7,5764.687,20.2,435
2002,97.535391,339,7.23,663964.43,2308,6.1,3.5,5809.242,20.2,431
2003,97.834773,337,7.05,755070.34,2603,6.6,3.7,5859.885,20.2,422
2004,100.002368,342,6.94,871210.24,2975,7.1,4,5978.81,20.4,415
2005,100.101576,339,6.71,1045730.36,3539,8,4.4,5999.153,20.3,402
2006,99.391541,333,6.48,1158820.58,3884,8.4,4.6,5913.748,19.8,386
2007,100.893363,335,6.46,1233868.68,4096,8.5,4.7,6003.095,19.9,384
2008,98.753711,325,6.33,1408759.34,4633,9.6,5.2,5816.57,19.1,373
2009,93.942216,306,6.18,1066292.97,3476,7.4,4.3,5392.024,17.6,355
2010,97.516859,315,6.25,1214034.25,3925,8.1,4.6,5584.624,18.1,358
2011,96.85023,311,6.11,1391695.74,4467,9,5,5445.718,17.5,344
2012,94.380123,301,5.83,1355023.97,4317,8.4,4.6,5229.045,16.7,323
2013,97.117292,307,5.89,1376133.94,4354,8.2,4.5,5356.041,16.9,325
2014,98.275542,309,5.82,1394918.49,4381,8,4.4,5413.229,17,320
2015,97.377606,304,5.6,1128062.48,3517,6.2,3.5,5262.878,16.4,303
2016,97.328303,301,5.51,1038120.49,3213,5.5,3.2,5170.422,16,293
2017,97.69984,300,5.41,1136496.14,3495,5.8,3.3,5130.694,15.8,284
2018,101.193092,309,5.45,Not Available,Not Available,Not Available,Not Available,5280.175,16.1,284
