U.S. Energy Information Administration,,,,,,,,,,,,,,
February 2020 Monthly Energy Review,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Release Date: February 25, 2020",,,,,,,,,,,,,,
"Next Update: March 26, 2020",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Table 11.1 Carbon Dioxide Emissions From Energy Consumption by Source,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Month,"Coal, Including Coal Coke Net Imports, CO2 Emissions","Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions",Aviation Gasoline CO2 Emissions,"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions",Hydrocarbon Gas Liquids CO2 Emissions,Jet Fuel CO2 Emissions,Kerosene CO2 Emissions,Lubricants CO2 Emissions,"Motor Gasoline, Excluding Ethanol, CO2 Emissions",Petroleum Coke CO2 Emissions,Residual Fuel Oil CO2 Emissions,Other Petroleum Products CO2 Emissions,"Petroleum, Excluding Biofuels, CO2 Emissions",Total Energy CO2 Emissions
,(Million Metric Tons of Carbon Dioxide),(Million Metric Tons of Carbon Dioxide),(Million Metric Tons of Carbon Dioxide),(Million Metric Tons of Carbon Dioxide),(Million Metric Tons of Carbon Dioxide),(Million Metric Tons of Carbon Dioxide),(Million Metric Tons of Carbon Dioxide),(Million Metric Tons of Carbon Dioxide),(Million Metric Tons of Carbon Dioxide),(Million Metric Tons of Carbon Dioxide),(Million Metric Tons of Carbon Dioxide),(Million Metric Tons of Carbon Dioxide),(Million Metric Tons of Carbon Dioxide),(Million Metric Tons of Carbon Dioxide)
01/01/1973,108.256,125.686,0.428,54.556,10.493,13.778,5.16,1.039,70.901,4.743,50.756,8.504,220.358,454.3
02/01/1973,97.667,113.867,0.432,51.207,8.874,12.225,4.421,1.027,67.377,3.904,46.89,7.46,203.817,415.351
03/01/1973,97.333,107.811,0.459,43.975,6.706,12.325,2.551,1.107,75.482,4.26,47.336,8.414,202.615,407.758
04/01/1973,93.052,97.938,0.446,33.602,5.809,12.144,2.006,0.981,73.367,4.087,36.792,7.991,177.227,368.216
05/01/1973,94.311,92.134,0.549,35.203,5.504,13.792,1.682,1.159,80.052,4.543,38.708,8.445,189.636,376.081
06/01/1973,97.724,81.74,0.471,30.835,4.515,12.07,1.447,1.008,78.103,4.765,38.734,8.591,180.539,360.003
07/01/1973,103.131,82.952,0.42,30.666,4.428,12.975,1.887,1.222,81.395,4.697,37.028,8.82,183.538,369.621
08/01/1973,105.357,84.184,0.668,33.657,5.246,12.99,1.864,1.189,84.101,4.9,42.304,8.907,195.826,385.367
09/01/1973,98.261,81.199,0.462,34.09,5.345,12.841,2.269,1.042,73.806,4.245,39.758,8.064,181.922,361.381
10/01/1973,101.028,90.755,0.55,38.607,6.663,13.667,2.281,1.283,77.383,5.027,39.764,8.351,193.575,385.358
11/01/1973,101.436,101.419,0.475,44.719,8.007,12.302,3.759,1.137,76.524,4.306,46.911,7.681,205.822,408.678
12/01/1973,108.718,116.361,0.413,48.633,8.171,13.457,3.028,1.124,72.282,4.443,45.196,8.023,204.771,429.85
01/01/1974,107.129,119.864,0.442,50.546,8.925,11.101,3.959,1.177,67.27,4.418,46.602,7.9,202.34,429.333
02/01/1974,96.895,110.222,0.304,45.817,7.264,9.633,3.225,0.981,63.853,3.952,41.477,7.194,183.7,390.817
03/01/1974,98.365,107.405,0.578,41.701,6.577,11.839,2.262,1.106,71.414,4.628,39.236,7.472,186.813,392.583
04/01/1974,93.412,90.688,0.446,36.373,5.712,11.264,1.599,1.057,72.419,3.985,36.205,7.898,176.957,361.058
05/01/1974,96.59,85.968,0.463,32.279,5.118,13.013,0.906,1.173,78.176,3.735,34.694,8.025,177.583,360.141
06/01/1974,94.949,76.899,0.528,30.305,4.816,11.382,1.411,0.921,77.604,4.031,35.729,8.342,175.069,346.917
07/01/1974,103.635,80.822,0.48,30.415,4.854,12.739,1.584,1.125,80.653,3.988,37.968,9.273,183.078,367.535
08/01/1974,103.888,80.527,0.641,30.415,5.085,12.758,1.788,1.016,81.839,4.074,38.83,9.15,185.595,370.01
09/01/1974,94.494,81.854,0.468,30.424,5.746,13.281,1.696,1.096,71.641,4.395,36.772,8.153,173.671,350.019
10/01/1974,99.061,90.929,0.557,38.042,6.778,12.517,2.445,1.128,77.791,3.758,40.088,8.607,191.711,381.702
11/01/1974,95.464,97.514,0.409,40.254,7.366,12.356,2.405,0.98,73.424,4.049,43.611,8.179,193.032,386.01
12/01/1974,101.357,112.678,0.348,50.782,8.537,12.924,3.104,0.994,76.003,4.359,45.804,8.205,211.06,425.096
01/01/1975,106.353,120.172,0.342,52.21,8.71,12.933,2.794,1.02,71.923,4.325,49.942,8.091,212.289,438.815
02/01/1975,97.813,103.91,0.365,45.266,6.953,12.038,2.902,0.717,63.814,3.936,39.502,6.795,182.289,384.012
03/01/1975,100.493,101.915,0.362,43.364,6.959,12.168,2.125,0.731,73.312,3.902,40.968,7.383,191.274,393.682
04/01/1975,93.139,84.549,0.411,39.438,5.715,12.076,1.797,0.97,75.348,4.077,33.169,7.063,180.063,357.751
05/01/1975,91.555,71.211,0.39,31.388,4.166,12.103,1.237,0.947,79.635,3.802,32.037,7.632,173.337,336.103
06/01/1975,95.011,67.086,0.424,28.915,3.845,11.873,1.624,1.007,79.364,3.938,32.345,7.704,171.038,333.135
07/01/1975,100.319,70.047,0.504,27.791,4.783,11.824,1.239,0.955,81.597,4.756,34.081,8.729,176.259,346.624
08/01/1975,103.353,72.931,0.472,28.636,5.096,12.97,1.36,1.037,81.223,4.416,33.115,8.362,176.687,352.972
09/01/1975,92.997,72.914,0.477,27.6,5.335,12.456,1.537,1,75.467,4.26,34.59,8.002,170.723,336.634
10/01/1975,94.857,82.117,0.471,35.269,6.133,12.342,1.856,1.093,78.55,4.817,34.825,8.013,183.369,360.343
11/01/1975,97.182,87.318,0.374,32.447,6.445,11.961,1.805,0.834,71.664,4.259,35.737,7.876,173.403,357.903
12/01/1975,107.66,109.425,0.322,49.974,8.9,11.256,3.499,0.979,78.902,4.438,44.702,8.413,211.384,428.469
01/01/1976,111.59,122.544,0.301,56.625,9.783,11.781,3.788,0.855,74.153,4.663,47.869,8.408,218.226,452.36
02/01/1976,98.91,103.795,0.292,45.58,6.779,11.197,2.59,0.916,67.908,3.98,44.188,8.192,191.621,394.326
03/01/1976,102.754,92.059,0.367,43.997,5.968,11.964,2.017,1.195,79.858,4.417,42.668,8.465,200.916,395.728
