U.S. Energy Information Administration,,,,,,
February 2020 Monthly Energy Review,,,,,,
,,,,,,
0,,,,,,
,,,,,,
"Release Date: February 25, 2020",,,,,,
"Next Update: March 26, 2020",,,,,,
,,,,,,
Table 9.8 Average Retail Prices of Electricity,,,,,,
,,,,,,
Month,"Average Retail Price of Electricity, Residential","Average Retail Price of Electricity, Commercial","Average Retail Price of Electricity, Industrial","Average Retail Price of Electricity, Transportation","Average Retail Price of Electricity, Other","Average Retail Price of Electricity, Total"
,"(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)","(Cents per Kilowatthour,  Including Taxes)"
01/01/1976,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
02/01/1976,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
03/01/1976,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
04/01/1976,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
05/01/1976,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
06/01/1976,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
07/01/1976,3.9,3.7,2.3,Not Available,Not Available,3
08/01/1976,3.7,3.6,2.2,Not Available,Not Available,3
09/01/1976,3.8,3.7,2.2,Not Available,Not Available,3.1
10/01/1976,3.9,3.8,2.2,Not Available,Not Available,3.2
11/01/1976,3.8,3.8,2.2,Not Available,Not Available,3.1
12/01/1976,3.6,3.7,2.3,Not Available,Not Available,3.1
01/01/1977,3.6,3.8,2.4,Not Available,Not Available,3.2
02/01/1977,3.7,3.9,2.4,Not Available,Not Available,3.3
03/01/1977,4,4,2.4,Not Available,Not Available,3.3
04/01/1977,4.1,4,2.4,Not Available,Not Available,3.3
05/01/1977,4.2,4.1,2.5,Not Available,Not Available,3.4
06/01/1977,4.2,4.1,2.5,Not Available,Not Available,3.4
07/01/1977,4.2,4.1,2.6,Not Available,Not Available,3.6
08/01/1977,4.4,4.4,2.6,Not Available,Not Available,3.7
09/01/1977,4.3,4.2,2.6,Not Available,Not Available,3.6
10/01/1977,4.3,4.3,2.6,Not Available,Not Available,3.5
11/01/1977,4.2,4.2,2.6,Not Available,Not Available,3.5
12/01/1977,4,4.1,2.5,Not Available,Not Available,3.4
01/01/1978,3.9,4.1,2.6,Not Available,Not Available,3.5
02/01/1978,3.9,4.2,2.7,Not Available,Not Available,3.5
03/01/1978,4.1,4.3,2.9,Not Available,Not Available,3.7
04/01/1978,4.3,4.4,2.8,Not Available,Not Available,3.7
05/01/1978,4.5,4.4,2.8,Not Available,Not Available,3.7
06/01/1978,4.5,4.5,2.8,Not Available,Not Available,3.8
07/01/1978,4.5,4.4,2.8,Not Available,Not Available,3.8
08/01/1978,4.5,4.4,2.8,Not Available,Not Available,3.8
09/01/1978,4.5,4.4,2.8,Not Available,Not Available,3.8
