U.S. Energy Information Administration,,,,,,,
February 2020 Monthly Energy Review,,,,,,,
,,,,,,,
0,,,,,,,
,,,,,,,
"Release Date: February 25, 2020",,,,,,,
"Next Update: March 26, 2020",,,,,,,
,,,,,,,
Table 9.9 Cost of Fossil-Fuel Receipts at Electric Generating Plants,,,,,,,
,,,,,,,
Month,Cost of Coal Receipts at Electric Generating Plants,Cost of Residual Fuel Receipts at Electric Generating Plants,Cost of Distillate Fuel Receipts at Electric Generating Plants,Costs of Petroleum Coke Receipts at Electric Generating Plants,Costs of Total Petroleum Receipts at Electric Generating Plants,Cost of Natural Gas Receipts at Electric Generating Plants,Cost of Fossil Fuel Receipts at Electric Generating Plants
,"(Dollars per Million Btu, Including Taxes)","(Dollars per Million Btu, Including Taxes)","(Dollars per Million Btu, Including Taxes)","(Dollars per Million Btu, Including Taxes)","(Dollars per Million Btu, Including Taxes)","(Dollars per Million Btu, Including Taxes)","(Dollars per Million Btu, Including Taxes)"
01/01/1973,0.378,0.658,Not Available,Not Available,0.669,0.299,0.436
02/01/1973,0.385,0.665,Not Available,Not Available,0.677,0.311,0.439
03/01/1973,0.389,0.678,Not Available,Not Available,0.684,0.319,0.441
04/01/1973,0.394,0.687,Not Available,Not Available,0.694,0.333,0.439
05/01/1973,0.395,0.702,Not Available,Not Available,0.71,0.337,0.44
06/01/1973,0.4,0.692,Not Available,Not Available,0.708,0.338,0.445
07/01/1973,0.398,0.717,Not Available,Not Available,0.728,0.337,0.453
08/01/1973,0.398,0.749,Not Available,Not Available,0.769,0.339,0.461
09/01/1973,0.408,0.794,Not Available,Not Available,0.818,0.349,0.488
10/01/1973,0.419,0.861,Not Available,Not Available,0.885,0.355,0.502
11/01/1973,0.44,1.023,Not Available,Not Available,1.04,0.357,0.563
12/01/1973,0.455,1.185,Not Available,Not Available,1.204,0.363,0.612
01/01/1974,0.514,1.571,Not Available,Not Available,1.614,0.373,0.744
02/01/1974,0.569,1.834,Not Available,Not Available,1.854,0.398,0.815
03/01/1974,0.608,1.863,Not Available,Not Available,1.873,0.425,0.809
04/01/1974,0.64,1.846,Not Available,Not Available,1.849,0.436,0.811
05/01/1974,0.659,1.858,Not Available,Not Available,1.856,0.44,0.813
06/01/1974,0.697,1.924,Not Available,Not Available,1.929,0.479,0.875
07/01/1974,0.729,1.925,Not Available,Not Available,1.946,0.498,0.922
08/01/1974,0.773,1.926,Not Available,Not Available,1.942,0.518,0.952
09/01/1974,0.791,1.925,Not Available,Not Available,1.934,0.524,0.958
10/01/1974,0.808,1.963,Not Available,Not Available,1.987,0.536,0.993
11/01/1974,0.902,1.976,Not Available,Not Available,2.003,0.547,1.133
12/01/1974,0.887,2.025,Not Available,Not Available,2.043,0.554,1.169
01/01/1975,0.807,1.971,Not Available,Not Available,1.993,0.586,1.064
02/01/1975,0.816,2.014,Not Available,Not Available,2.026,0.653,1.082
03/01/1975,0.805,2.037,Not Available,Not Available,2.044,0.665,1.055
04/01/1975,0.804,2.077,Not Available,Not Available,2.078,0.689,1.022
05/01/1975,0.818,2.044,Not Available,Not Available,2.048,0.726,1.021
06/01/1975,0.814,1.995,Not Available,Not Available,2.013,0.712,1.01
07/01/1975,0.808,1.985,Not Available,Not Available,2.004,0.74,1.039
08/01/1975,0.821,2.002,Not Available,Not Available,2.027,0.788,1.056
