Inventory of Planned Generators as of December 2019,,,,,,,,,,,,,,,,,,,,,,
Entity ID,Entity Name,Plant ID,Plant Name,Sector,Plant State,Generator ID,Unit Code,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Planned Operation Month,Planned Operation Year,Status,County,Latitude,Longitude,Google Map,Bing Map,Balancing Authority Code
12320,Merck & Co Inc,52148,Elkton,Industrial CHP,VA,GEN6,,1.2,1.2,1.2,Natural Gas Steam Turbine,NG,ST, , ,"(U) Under construction, less than or equal to 50 percent complete",Rockingham,38.383600,-78.652800,Map,Map,PJM
12320,Merck & Co Inc,52148,Elkton,Industrial CHP,VA,GEN7,,1.2,1.2,1.2,Natural Gas Steam Turbine,NG,ST, , ,"(U) Under construction, less than or equal to 50 percent complete",Rockingham,38.383600,-78.652800,Map,Map,PJM
24211,Tucson Electric Power Co,126,H Wilson Sundt Generating Station,Electric Utility,AZ,RIC10,,23.5,18.2,19.0,Natural Gas Internal Combustion Engine,NG,IC,1,2020,"(U) Under construction, less than or equal to 50 percent complete",Pima,32.160000,-110.904700,Map,Map,TEPC
24211,Tucson Electric Power Co,126,H Wilson Sundt Generating Station,Electric Utility,AZ,RIC6,,23.5,18.2,19.0,Natural Gas Internal Combustion Engine,NG,IC,1,2020,"(U) Under construction, less than or equal to 50 percent complete",Pima,32.160000,-110.904700,Map,Map,TEPC
24211,Tucson Electric Power Co,126,H Wilson Sundt Generating Station,Electric Utility,AZ,RIC7,,23.5,18.2,19.0,Natural Gas Internal Combustion Engine,NG,IC,1,2020,"(U) Under construction, less than or equal to 50 percent complete",Pima,32.160000,-110.904700,Map,Map,TEPC
24211,Tucson Electric Power Co,126,H Wilson Sundt Generating Station,Electric Utility,AZ,RIC8,,23.5,18.2,19.0,Natural Gas Internal Combustion Engine,NG,IC,1,2020,"(U) Under construction, less than or equal to 50 percent complete",Pima,32.160000,-110.904700,Map,Map,TEPC
24211,Tucson Electric Power Co,126,H Wilson Sundt Generating Station,Electric Utility,AZ,RIC9,,23.5,18.2,19.0,Natural Gas Internal Combustion Engine,NG,IC,1,2020,"(U) Under construction, less than or equal to 50 percent complete",Pima,32.160000,-110.904700,Map,Map,TEPC
13206,Nantucket Electric Co,1615,Nantucket,Electric Utility,MA,20,,6.0,6.0,6.0,Batteries,MWH,BA,1,2020,"(TS) Construction complete, but not yet in commercial operation",Nantucket,41.258300,-70.051700,Map,Map,ISNE
57280,Eagle Creek RE LLC,2634,Swinging Bridge 2,IPP Non-CHP,NY,SWI3,,1.2,1.2,1.2,Conventional Hydroelectric,WAT,HY,1,2020,"(TS) Construction complete, but not yet in commercial operation",Sullivan,41.571700,-74.782800,Map,Map,NYIS
3046,Duke Energy Progress - (NC),2706,Asheville,Electric Utility,NC,CT7,CC2,191.2,191.2,191.2,Natural Gas Fired Combined Cycle,NG,CT,1,2020,"(V) Under construction, more than 50 percent complete",Buncombe,35.473100,-82.541700,Map,Map,CPLE
3046,Duke Energy Progress - (NC),2706,Asheville,Electric Utility,NC,ST8,CC2,102.8,102.0,102.0,Natural Gas Fired Combined Cycle,NG,CA,1,2020,"(V) Under construction, more than 50 percent complete",Buncombe,35.473100,-82.541700,Map,Map,CPLE
16873,City of Sebewaing - (MI),7806,Pine Street,Electric Utility,MI,7,,4.4,4.4,4.4,Natural Gas Internal Combustion Engine,NG,IC,1,2020,"(TS) Construction complete, but not yet in commercial operation",Huron,43.740164,-83.449950,Map,Map,MISO
16873,City of Sebewaing - (MI),7806,Pine Street,Electric Utility,MI,8,,3.3,3.3,3.3,Natural Gas Internal Combustion Engine,NG,IC,1,2020,"(TS) Construction complete, but not yet in commercial operation",Huron,43.740164,-83.449950,Map,Map,MISO
54769,INEOS USA LLC,10154,Power Island,Industrial CHP,TX,GEN2,,50.0,50.0,50.0,Natural Gas Fired Combustion Turbine,NG,GT,1,2020,"(V) Under construction, more than 50 percent complete",Brazoria,29.229300,-95.195200,Map,Map,ERCO
16191,Robbins Lumber Inc,50230,Robbins Lumber,Industrial CHP,ME,WEG,,10.0,8.5,8.5,Wood/Wood Waste Biomass,WDS,ST,1,2020,"(TS) Construction complete, but not yet in commercial operation",Waldo,44.333100,-69.201900,Map,Map,ISNE
12685,Entergy Mississippi LLC,55218,Hinds Energy Facility,Electric Utility,MS,H04BS,,49.1,36.4,36.4,Natural Gas Fired Combustion Turbine,NG,GT,1,2020,"(TS) Construction complete, but not yet in commercial operation",Hinds,32.378969,-90.219910,Map,Map,MISO
57202,E&E Enterprises LLC,56215,Allendorf,IPP Non-CHP,IA,ET,,2.0,1.8,2.0,Onshore Wind Turbine,WND,WT,1,2020,"(TS) Construction complete, but not yet in commercial operation",Osceola,43.400000,-95.633300,Map,Map,MISO
7140,Georgia Power Co,59864,Kings Bay Solar Facility,Electric Utility,GA,BESS,,1.5,1.5,1.5,Batteries,MWH,BA,1,2020,"(U) Under construction, less than or equal to 50 percent complete",Camden,30.834897,-81.563640,Map,Map,SOCO
60389,Rabbit Hill Energy Storage Project,60649,Rabbit Hill Energy Storage Project,IPP Non-CHP,TX,1,,9.9,9.9,9.9,Batteries,MWH,BA,1,2020,"(V) Under construction, more than 50 percent complete",Williamson,30.587828,-97.687020,Map,Map,ERCO
20323,"Wellhead Energy, LLC",60698,Stanton Energy Reliability Center,IPP Non-CHP,CA,GT1,,60.5,45.9,49.6,Natural Gas Fired Combustion Turbine,NG,GT,1,2020,"(V) Under construction, more than 50 percent complete",Orange,33.806801,-117.985800,Map,Map,CISO
20323,"Wellhead Energy, LLC",60698,Stanton Energy Reliability Center,IPP Non-CHP,CA,GT2,,60.5,45.9,49.6,Natural Gas Fired Combustion Turbine,NG,GT,1,2020,"(V) Under construction, more than 50 percent complete",Orange,33.806801,-117.985800,Map,Map,CISO
61785,EDP Renewables North America LLC,60827,"Sun Streams, LLC",IPP Non-CHP,AZ,GEN01,,144.0,144.0,144.0,Solar Photovoltaic,SUN,PV,1,2020,"(V) Under construction, more than 50 percent complete",Maricopa,33.348840,-112.834800,Map,Map,CISO
13478,"Entergy New Orleans, LLC",60928,New Orleans Power,Electric Utility,LA,1,,250.0,250.0,275.0,Natural Gas Fired Combustion Turbine,NG,GT,1,2020,"(V) Under construction, more than 50 percent complete",Orleans,30.008100,-89.937200,Map,Map,MISO
60656,Chestnut Solar LLC,61011,Chestnut Solar,IPP Non-CHP,NC,PV1,,74.9,74.9,74.9,Solar Photovoltaic,SUN,PV,1,2020,"(V) Under construction, more than 50 percent complete",Halifax,36.180000,-77.712000,Map,Map,PJM
61608,"Agilon Energy Holdings II, LLC",61241,Victoria City Power LLC,IPP Non-CHP,TX,VC-1,,50.0,43.0,48.0,Natural Gas Fired Combustion Turbine,NG,GT,1,2020,"(TS) Construction complete, but not yet in commercial operation",Victoria,28.785300,-97.009300,Map,Map,ERCO
61608,"Agilon Energy Holdings II, LLC",61241,Victoria City Power LLC,IPP Non-CHP,TX,VC-2,,50.0,43.0,48.0,Natural Gas Fired Combustion Turbine,NG,GT,1,2020,"(TS) Construction complete, but not yet in commercial operation",Victoria,28.785300,-97.009300,Map,Map,ERCO
60975,"SR Innovation, LLC",61332,SR Innovation - NIKE PV,IPP Non-CHP,TN,NIKE2,,1.7,1.7,1.7,Solar Photovoltaic,SUN,PV,1,2020,"(V) Under construction, more than 50 percent complete",Shelby,35.300066,-89.962990,Map,Map,TVA
18454,Tampa Electric Co,61667,Wimauma Solar,Electric Utility,FL,1,,74.5,74.5,74.5,Solar Photovoltaic,SUN,PV,1,2020,"(V) Under construction, more than 50 percent complete",Hillsborough,27.736389,-82.271720,Map,Map,TEC
61374,"Foxtail Wind, LLC",61747,"Foxtail Wind, LLC",Electric Utility,ND,1,,150.0,150.0,150.0,Onshore Wind Turbine,WND,WT,1,2020,"(V) Under construction, more than 50 percent complete",Dickey,46.098211,-98.880070,Map,Map,MISO
55918,Acciona Wind Energy USA LLC,61773,"Palmas Wind, LLC",IPP Non-CHP,TX,PW,,144.9,142.6,142.6,Onshore Wind Turbine,WND,WT,1,2020,"(V) Under construction, more than 50 percent complete",Cameron,26.288889,-97.496390,Map,Map,ERCO
