"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vvg&geo=g&sec=g&linechart=ELEC.GEN.ALL-US-99.M~ELEC.GEN.COW-US-99.M~ELEC.GEN.NG-US-99.M~ELEC.GEN.NUC-US-99.M~ELEC.GEN.HYC-US-99.M&columnchart=ELEC.GEN.ALL-US-99.M~ELEC.GEN.COW-US-99.M~ELEC.GEN.NG-US-99.M~ELEC.GEN.NUC-US-99.M~ELEC.GEN.HYC-US-99.M&map=ELEC.GEN.ALL-US-99.M&freq=M&start=200101&end=201912&ctype=linechart&ltype=pin&rtype=s&pin=ELEC.GEN.COW-US-98.M&rse=0&maptype=0"
"Sat Mar 07 2020 22:59:30 GMT-0600 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2001","Feb 2001","Mar 2001","Apr 2001","May 2001","Jun 2001","Jul 2001","Aug 2001","Sep 2001","Oct 2001","Nov 2001","Dec 2001","Jan 2002","Feb 2002","Mar 2002","Apr 2002","May 2002","Jun 2002","Jul 2002","Aug 2002","Sep 2002","Oct 2002","Nov 2002","Dec 2002","Jan 2003","Feb 2003","Mar 2003","Apr 2003","May 2003","Jun 2003","Jul 2003","Aug 2003","Sep 2003","Oct 2003","Nov 2003","Dec 2003","Jan 2004","Feb 2004","Mar 2004","Apr 2004","May 2004","Jun 2004","Jul 2004","Aug 2004","Sep 2004","Oct 2004","Nov 2004","Dec 2004","Jan 2005","Feb 2005","Mar 2005","Apr 2005","May 2005","Jun 2005","Jul 2005","Aug 2005","Sep 2005","Oct 2005","Nov 2005","Dec 2005","Jan 2006","Feb 2006","Mar 2006","Apr 2006","May 2006","Jun 2006","Jul 2006","Aug 2006","Sep 2006","Oct 2006","Nov 2006","Dec 2006","Jan 2007","Feb 2007","Mar 2007","Apr 2007","May 2007","Jun 2007","Jul 2007","Aug 2007","Sep 2007","Oct 2007","Nov 2007","Dec 2007","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019"
"Pinned series",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net generation : coal : United States : electric power (total) : monthly","thousand megawatthours","ELEC.GEN.COW-US-98.M",175303,148059,153452,139034,150043,160888,177142,181053,152450,147218,142473,155711,162521,141430,149724,140498,149646,162736,181001,177962,163497,157195,154172,170231,179356,155283,153323,140369,148574,160559,180006,183469,163243,157578,156536,174418,178715,159783,152551,139831,155288,165842,179600,176373,162593,155904,155767,174942,175248,154168,161863,141460,152345,173147,184213,185730,169922,160731,157091,176135,167478,157015,159589,139730,155290,167907,185951,187576,159899,159674,157817,171810,174253,162199,158273,144799,155991,171994,183483,188516,167888,160696,157936,172361,181337,165343,159284,145587,153473,169600,185208,179082,159933,150464,153016,166512,170626,139743,134314,124803,130527,146845,156943,161917,135950,138667,135644,165146,171660,151461,142665,125615,141669,163912,177778,175848,147157,130663,133815,165494,169390,137082,133584,123272,135820,156716,175129,169798,139648,125442,120323,131686,127874,112774,104410,95284,114930,130147,159178,150941,124496,119952,127648,132923,136952,122484,129469,110786,118380,137160,151653,148288,132047,119943,119858,140703,155916,142218,135290,108279,117738,136470,148472,147329,125062,110322,118118,123561,131431,126024,107471,88147,103672,124677,138060,133651,117005,95872,86362,88622,112624,91909,71346,71419,80935,115197,135420,134762,113347,98474,86275,117955,114572,86158,88688,80743,92141,106825,127019,118810,97560,89114,90347,105860,118557,81399,79983,72787,84634,100894,114749,114516,95962,86736,92258,96173,100368,79537,77959,59490,71364,78092,100394,93604,85373,66301,75010,72015
"Net generation for all sectors","thousand megawatthours",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States",,"ELEC.GEN..M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States : all fuels (utility-scale)","thousand megawatthours","ELEC.GEN.ALL-US-99.M",332493,282940,300707,278079,300492,327694,357614,370533,306929,294734,278934,305496,319941,281826,302549,289848,307675,341023,381542,374586,331279,307059,296290,324834,341989,299249,304317,285756,307545,328694,374396,381816,323136,306741,297867,331680,346546,314280,308812,290560,327380,345085,377332,368439,335622,312450,302101,341948,343121,298500,317458,289562,315062,363672,402274,404941,350218,316398,306115,348101,328658,307333,318730,297858,330616,364260,410421,407763,332055,321567,309159,336283,353531,323230,320471,303129,330203,362755,393226,421797,355394,332615,314103,346290,362998,325106,324630,305865,325245,373109,402900,388987,338056,318547,310046,343898,354993,300887,310603,289537,311306,347658,372542,381221,327401,307040,296635,350507,360957,319735,312168,287800,327936,375759,409725,408884,346045,307921,306010,362119,362872,313127,318710,302401,323628,367727,418693,406511,337931,308699,304102,335740,339526,309389,309090,295229,336516,360825,414641,395700,334586,311652,305976,334635,348967,309728,325399,299333,322156,356823,394846,385286,340941,314925,314540,353021,377255,324348,331823,297631,324724,357844,385780,384341,339887,314522,317495,337957,360455,334476,324192,294133,322087,362409,400419,392116,350122,312112,300653,324427,352719,313685,304390,292894,316784,367781,411887,409701,351484,312945,297062,345343,343190,289653,317935,294325,322518,357916,404387,384342,335861,320376,310315,353452,373212,306879,321530,300743,338936,371870,411265,408004,356239,324911,322349,338458,357754,313680,323782,294577,328269,351363,411616,401665,359545,321875,316672,337253
"United States : coal","thousand megawatthours","ELEC.GEN.COW-US-99.M",177287,149735,155269,140671,151593,162616,179060,183116,154158,148931,144117,157402,164358,143049,151486,142305,151406,164668,183195,179955,165366,159099,156054,172190,181313,156982,155002,141960,150263,162285,181852,185332,164910,159323,158223,176291,180657,161503,154288,141471,157016,167642,181492,178181,164253,157605,157436,176755,177014,155818,163613,143083,153958,174867,186091,187574,171656,162437,158798,177965,169236,158616,161325,141426,157010,169693,187821,189455,161590,161390,159440,173509,175739,163603,159811,146250,157513,173513,185054,190135,169391,162234,159382,173830,182876,166666,160743,146983,154916,171043,186733,180576,161356,151841,154281,167786,171925,140916,135530,125935,131673,148087,158234,163260,137145,139956,136810,166434,173320,153044,144406,126952,143272,165491,179600,177745,148746,132270,135185,167258,170803,138311,134845,124488,137102,158055,176586,171281,140941,126627,121463,132929,129091,113872,105526,96285,115983,131261,160450,152181,125589,120999,128727,134079,138105,123547,130634,111835,119513,138283,152867,149426,133110,120996,120940,141860,157097,143294,136443,109281,118786,137577,149627,148452,126110,111296,119127,124620,132451,126977,108488,88989,104585,125673,139100,134670,117986,96759,87227,89495,113459,92705,72173,72113,81695,116034,136316,135635,114138,99194,86940,118747,115333,86822,89365,81335,92777,107508,127697,119488,98203,89775,90986,106546,119284,82050,80626,73346,85227,101503,115376,115129,96544,87264,92819,96793,101008,80104,78516,60008,71883,78610,100981,94177,85918,66829,75560,72554
"United States : petroleum liquids","thousand megawatthours","ELEC.GEN.PEL-US-99.M",17300,9626,10981,10237,9641,10997,10050,13235,6432,5573,5090,5484,5434,4388,6937,6535,6664,6429,8507,8194,6670,6910,5174,6859,11518,9740,9347,7314,6841,9534,10542,10836,7114,6970,4939,8040,13509,7701,8098,7400,8511,9185,10337,9185,7070,5928,5270,8197,10261,5575,6472,5273,4823,8740,11039,12414,10452,8385,5199,11207,4246,3257,2407,3039,2902,4060,5121,6571,3043,3354,3355,3105,4420,7596,4118,3830,3489,4213,4125,5702,3647,3558,2001,2803,3131,2438,2112,2274,2343,3707,2983,2547,2990,1943,2191,3257,4968,2267,2089,1658,2053,2090,2124,2449,1677,1815,1315,1468,3187,1251,1272,1220,1851,2656,2970,2419,1675,1221,1220,2395,1902,1217,1276,1459,1356,1374,1714,1295,1119,1114,1082,1178,1180,907,971,965,1078,1306,1531,1202,978,1061,986,1235,1733,1130,990,995,1067,1035,1458,1076,964,945,989,1438,5913,1847,2002,911,960,889,992,1014,929,908,963,947,1927,5221,1061,919,1017,1040,1201,1093,1006,945,995,948,1396,1299,874,833,984,972,1273,1258,946,937,1070,1166,1121,874,950,846,971,1001,916,970,925,956,903,1982,5555,804,830,873,1040,1066,988,1047,1055,1015,1006,966,1358,806,823,788,943,976,1029,1084,942,955,911,961
"United States : petroleum coke","thousand megawatthours","ELEC.GEN.PC-US-99.M",812,716,752,627,749,825,992,994,911,961,841,1055,1257,1275,1280,1299,1462,1367,1406,1543,1405,1206,1113,1252,1124,1030,876,1267,1212,1465,1659,1642,1549,1640,1541,1666,1925,1665,1634,1641,1725,1657,1761,1893,1607,1738,1604,1903,1929,1740,1880,1679,1891,2043,1995,2114,1827,1793,1668,1827,1890,1667,1607,1651,1518,1706,1881,1788,1602,1538,1392,1466,1574,1287,1297,1250,1384,1564,1369,1485,1289,1189,1135,1412,1366,1231,1039,1126,1055,1255,1174,1264,1181,1343,1154,1137,1136,1051,1260,1148,1156,1153,1234,1193,1176,746,757,954,1161,1122,1198,1067,1143,1333,1441,1157,1108,1007,860,1128,1555,1217,1416,965,1023,1220,1440,1299,1305,948,701,1007,1297,994,570,538,651,762,809,916,882,744,824,800,1042,867,1007,891,1345,1307,1354,1372,1222,1074,850,1013,1158,916,1186,842,1084,1131,1050,1036,1019,609,775,1149,1046,1100,717,809,922,821,1103,1040,1028,827,715,749,966,910,927,1006,974,1005,1049,1078,980,635,799,869,944,723,699,431,847,901,889,765,712,572,755,737,965,754,642,666,517,834,913,879,799,562,656,795,840,747,639,446,747,555,746,687,638,198,339,409
"United States : natural gas","thousand megawatthours","ELEC.GEN.NG-US-99.M",42389,37967,44364,45843,50934,57603,73030,78410,60181,56376,44491,47541,48413,44308,51214,49146,50275,65631,83917,84477,68161,54201,45161,46100,50176,43547,46699,45195,49373,54453,76938,83250,59090,51824,45328,44035,48253,50320,49801,51822,62022,64686,79290,77821,67854,57229,49693,51310,51338,44913,51897,52016,54826,75635,96819,100787,73355,55941,49440,53993,43807,47409,54922,56091,65586,81060,108094,106592,72673,70640,53440,56128,61475,57622,56204,60153,66470,81511,97483,121338,88532,78358,60637,66808,72600,60042,62171,63046,62270,84620,100321,99673,79136,73283,61454,64364,66390,62139,68203,61159,68146,84205,101894,109240,92127,72603,63285,71590,74173,66198,63431,64644,73665,92268,114624,121151,93004,77738,69227,77573,74254,65924,65947,70029,75243,90691,119624,119856,91739,78819,75441,86122,90761,90610,92251,94829,107352,115598,138863,131736,108012,91725,80169,83989,88559,80283,84725,78036,83816,99615,120771,121156,102063,88587,84287,92936,91061,75942,78151,76782,89120,98468,115081,122348,106582,97683,84354,91038,101687,91315,99423,92806,101516,121478,141119,139084,123036,110005,102236,109777,110044,98552,103890,98876,110430,131395,151554,154760,125603,102898,93942,96364,95473,82694,95022,88418,98067,117317,146994,141209,118112,106852,94883,111373,110265,98492,106503,98354,115268,130808,164722,161650,141762,123116,108142,109647,119307,111005,112945,103006,116236,136994,174341,176458,150753,133667,117762,129342
"United States : other gases","thousand megawatthours","ELEC.GEN.OOG-US-99.M",718,676,769,698,785,733,840,848,767,737,699,770,923,760,904,890,910,1009,1071,1117,1053,908,894,1025,1283,1132,1267,1305,1310,1235,1292,1284,1309,1291,1451,1441,1182,1194,1292,1345,1302,1333,1284,1290,1341,1269,1216,1205,1126,1076,1214,1121,1191,1149,1161,1172,1145,1080,965,1062,1157,1114,1234,1180,1295,1167,1267,1292,1153,1185,1065,1068,1154,981,1234,1163,1175,1154,1154,1132,1120,1134,1031,1022,1063,972,1049,1021,1044,1132,1174,1147,823,806,721,753,807,784,834,758,773,876,966,1012,1022,960,910,930,909,825,1010,943,1017,964,963,1061,954,808,907,952,930,807,945,918,875,1013,1098,1087,1004,941,943,1005,1017,1044,1076,1057,1002,972,1042,1050,904,895,875,963,1144,968,1070,1020,1088,1048,1148,1143,1087,1072,1060,1006,933,817,866,854,944,969,1069,1135,1126,1082,1073,1153,1246,1025,1091,979,1099,1118,1235,1196,1210,906,902,1110,1195,1062,1197,1132,1053,1043,1077,1064,1020,913,1013,1037,1046,977,1060,1001,1055,992,1048,1134,1060,999,1001,1096,1097,1092,1158,1099,1167,1091,1172,1301,1104,1016,1045,1120,1115,1110,1251,1071,1101,1025,1290,1202,1139,997,1196,1136
