U.S. Energy Information Administration,,,,,,,,,
February 2020 Monthly Energy Review,,,,,,,,,
,,,,,,,,,
0,,,,,,,,,
,,,,,,,,,
"Release Date: February 25, 2020",,,,,,,,,
"Next Update: March 26, 2020",,,,,,,,,
,,,,,,,,,
Table 11.6 Carbon Dioxide Emissions From Energy Consumption: Electric Power Sector,,,,,,,,,
,,,,,,,,,
Month,Coal Electric Power Sector CO2 Emissions,Natural Gas Electric Power Sector CO2 Emissions,"Distillate Fuel, Including Kerosene-Type Jet Fuel, Oil Electric Power Sector CO2 Emissions",Petroleum Coke Electric Power Sector CO2 Emissions,Residual Fuel Oil Electric Power Sector CO2 Emissions,Petroleum Electric Power Sector CO2 Emissions,Geothermal Energy Electric Power Sector CO2 Emissions,Non-Biomass Waste Electric Power Sector CO2 Emissions,Total Energy Electric Power Sector CO2 Emissions
,(Million Metric Tons of Carbon Dioxide),(Million Metric Tons of Carbon Dioxide),(Million Metric Tons of Carbon Dioxide),(Million Metric Tons of Carbon Dioxide),(Million Metric Tons of Carbon Dioxide),(Million Metric Tons of Carbon Dioxide),(Million Metric Tons of Carbon Dioxide),(Million Metric Tons of Carbon Dioxide),(Million Metric Tons of Carbon Dioxide)
01/01/1973,72.076,12.175,2.375,0.128,24.867,27.369,Not Available,Not Available,111.621
02/01/1973,64.442,11.708,2.061,0.106,20.867,23.034,Not Available,Not Available,99.185
03/01/1973,64.084,13.994,1.171,0.083,19.78,21.034,Not Available,Not Available,99.112
04/01/1973,60.842,14.627,1.022,0.13,16.562,17.714,Not Available,Not Available,93.183
05/01/1973,61.798,17.344,0.949,0.167,17.754,18.87,Not Available,Not Available,98.012
06/01/1973,66.538,20.265,1.787,0.171,20.899,22.856,Not Available,Not Available,109.66
07/01/1973,72.626,23.067,1.965,0.15,23.127,25.242,Not Available,Not Available,120.935
08/01/1973,75.181,22.85,2.536,0.166,24.456,27.158,Not Available,Not Available,125.189
09/01/1973,68.397,19.297,1.432,0.116,22.21,23.758,Not Available,Not Available,111.452
10/01/1973,67.668,17.897,1.473,0.102,22.151,23.726,Not Available,Not Available,109.291
11/01/1973,67.021,13.766,1.537,0.087,21.213,22.837,Not Available,Not Available,103.624
12/01/1973,71.118,11.866,1.606,0.152,20.346,22.104,Not Available,Not Available,105.089
01/01/1974,70.55,11.959,1.835,0.183,21.003,23.021,Not Available,Not Available,105.53
02/01/1974,62.929,11.021,1.837,0.148,17.992,19.977,Not Available,Not Available,93.928
03/01/1974,64.519,13.86,1.868,0.156,17.454,19.478,Not Available,Not Available,97.857
04/01/1974,60.544,14.105,1.669,0.11,15.865,17.644,Not Available,Not Available,92.293
05/01/1974,64.687,16.676,1.927,0.093,17.973,19.993,Not Available,Not Available,101.357
06/01/1974,64.736,18.859,1.68,0.08,18.464,20.224,Not Available,Not Available,103.819
07/01/1974,73.698,21.984,2.544,0.096,21.88,24.52,Not Available,Not Available,120.201
08/01/1974,72.559,20.748,2.029,0.098,21.894,24.021,Not Available,Not Available,117.328
09/01/1974,63.221,17.027,1.622,0.093,20.194,21.909,Not Available,Not Available,102.157
10/01/1974,65.418,16.236,1.65,0.296,20.5,22.446,Not Available,Not Available,104.099
11/01/1974,65.593,12.999,1.926,0.303,21.811,24.04,Not Available,Not Available,102.631
12/01/1974,71.677,11.244,1.939,0.266,24.318,26.522,Not Available,Not Available,109.443
01/01/1975,72.708,11.165,2.243,0.034,24.159,26.436,Not Available,Not Available,110.308
02/01/1975,65.117,10.285,1.579,0.025,19.726,21.33,Not Available,Not Available,96.731
03/01/1975,66.532,11.496,1.266,0.013,18.542,19.822,Not Available,Not Available,97.85
04/01/1975,61.975,11.663,0.985,0.013,17.197,18.196,Not Available,Not Available,91.834
