U.S. Energy Information Administration,,,,,,,,,,,
February 2020 Monthly Energy Review,,,,,,,,,,,

0,,,,,,,,,,,

"Release Date: February 25, 2020",,,,,,,,,,,
"Next Update: March 26, 2020",,,,,,,,,,,

Table 2.1 Energy Consumption by Sector,,,,,,,,,,,

Month,Primary Energy Consumed by the Residential Sector,Total Energy Consumed by the Residential Sector,Primary Energy Consumed by the Commercial Sector,Total Energy Consumed by the Commercial Sector,Primary Energy Consumed by the Industrial Sector,Total Energy Consumed by the Industrial Sector,Primary Energy Consumed by the Transportation Sector,Total Energy Consumed by the Transportation Sector,Primary Energy Consumed by the Electric Power Sector,Energy Consumption Balancing Item,Primary Energy Consumption Total
,(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu)
1973 January,1339.27,1957.641,657.977,1080.68,2027.033,2673.882,1504.805,1507.977,1691.096,3.693,7223.873
1973 February,1174.899,1712.143,623.759,1003.913,1841.299,2432.592,1438.298,1441.064,1511.458,2.654,6592.366
1973 March,983.374,1510.079,492.136,886.42,1926.411,2561.729,1561.293,1564.146,1559.159,-0.934,6521.439
1973 April,715.391,1183.421,363.393,736.851,1914.017,2540.02,1480.403,1483.064,1470.152,-1.627,5941.729
1973 May,535.914,1006.326,288.63,695.636,2076.468,2747.831,1622.115,1624.965,1551.631,-2.817,6071.94
1973 June,366.934,914.949,226.461,686.037,1958.75,2657.89,1541.377,1544.398,1709.752,-0.592,5802.683
1973 July,306.868,961.872,196.228,692.651,2016.833,2708.501,1584.971,1588.208,1846.331,0.678,5951.909
1973 August,313.317,994.259,204.22,703.58,2135.416,2841.831,1646.908,1650.064,1889.873,1.923,6191.657
1973 September,342.204,937.083,208.169,648.966,2054.255,2680.553,1503.443,1506.312,1664.842,0.603,5773.515
1973 October,448.425,978.162,264.373,691.453,2245.484,2924.536,1577.704,1580.642,1638.807,0.068,6174.862
1973 November,711.988,1202.105,389.108,800.708,2267.315,2930.543,1581.538,1584.535,1567.941,1.142,6519.033
1973 December,987.464,1538.568,508.529,918.009,2224.341,2890.319,1534.434,1537.464,1629.591,2.544,6886.904
1974 January,1235.945,1846.93,631.87,1040.963,1933.969,2574.742,1438.094,1440.932,1663.689,0.476,6904.043
1974 February,1062.873,1589.448,536.911,910.884,1868.858,2472.797,1338.913,1341.4,1506.973,-0.228,6314.3
1974 March,912.136,1451.073,470.272,865.582,1919.32,2571.881,1480.536,1483.231,1589.502,-1,6370.767
1974 April,723.904,1215.228,373.79,754.543,1786.181,2424.483,1467.557,1470.131,1512.953,-3.319,5861.066
