U.S. Energy Information Administration,,,,,,,,,,,,,
February 2020 Monthly Energy Review,,,,,,,,,,,,,
,,,,,,,,,,,,,
0,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Release Date: February 25, 2020",,,,,,,,,,,,,
"Next Update: March 26, 2020",,,,,,,,,,,,,
,,,,,,,,,,,,,
Table 2.6 Electric Power Sector Energy Consumption,,,,,,,,,,,,,
,,,,,,,,,,,,,
Month,Coal Consumed by the Electric Power Sector,Natural Gas Consumed by the Electric Power Sector (Excluding Supplemental Gaseous Fuels),Petroleum Consumed by the Electric Power Sector,Total Fossil Fuels Consumed by the Electric Power Sector,Nuclear Electric Power Consumed by the Electric Power Sector,Conventional Hydroelectric Power Consumed by the Electric Power Sector,Geothermal Energy Consumed by the Electric Power Sector,Solar Energy Consumed by the Electric Power Sector,Wind Energy Consumed by the Electric Power Sector,Biomass Energy Consumed by the Electric Power Sector,Total Renewable Energy Consumed by the Electric Power Sector,Electric Power Sector Electricity Net Imports,Total Primary Energy Consumed by the Electric Power Sector
,(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu),(Trillion Btu)
01/01/1973,768.746,229.478,349.393,1347.618,68.103,269.536,1.491,Not Available,Not Available,0.211,271.238,4.137,1691.096
02/01/1973,687.33,220.677,294.145,1202.152,64.634,239.271,1.363,Not Available,Not Available,0.301,240.935,3.737,1511.458
03/01/1973,683.507,263.75,267.926,1215.183,72.494,265.57,1.412,Not Available,Not Available,0.362,267.345,4.137,1559.159
04/01/1973,648.927,275.69,225.482,1150.099,64.07,250.09,1.649,Not Available,Not Available,0.24,251.979,4.004,1470.152
05/01/1973,659.121,326.899,239.991,1226.011,62.111,257.577,1.537,Not Available,Not Available,0.258,259.372,4.137,1551.631
06/01/1973,709.685,381.951,291.407,1383.043,73.968,246.76,1.763,Not Available,Not Available,0.214,248.737,4.004,1709.752
07/01/1973,774.618,434.753,321.944,1531.315,75.89,232.91,1.869,Not Available,Not Available,0.21,234.989,4.137,1846.331
08/01/1973,801.863,430.678,346.795,1579.336,84.883,219.412,1.762,Not Available,Not Available,0.341,221.516,4.137,1889.873
09/01/1973,729.505,363.711,302.614,1395.83,85.724,177.407,1.492,Not Available,Not Available,0.385,179.284,4.004,1664.842
10/01/1973,721.732,337.325,302.3,1361.356,81.971,189.189,1.76,Not Available,Not Available,0.393,191.343,4.137,1638.807
11/01/1973,714.831,259.452,291.13,1265.413,88.773,207.617,1.889,Not Available,Not Available,0.246,209.752,4.004,1567.941
12/01/1973,758.535,223.653,281.69,1263.878,87.557,271.335,2.435,Not Available,Not Available,0.248,274.019,4.137,1629.591
01/01/1974,752.467,225.403,293.501,1271.371,84.855,301.368,2.154,Not Available,Not Available,0.263,303.785,3.678,1663.689
02/01/1974,671.191,207.727,254.99,1133.908,90.577,277.084,1.901,Not Available,Not Available,0.181,279.165,3.322,1506.973
