U.S. Energy Information Administration,,,,,,,,,,,
February 2020 Monthly Energy Review,,,,,,,,,,,
,,,,,,,,,,,
0,,,,,,,,,,,
,,,,,,,,,,,
"Release Date: February 25, 2020",,,,,,,,,,,
"Next Update: March 26, 2020",,,,,,,,,,,
,,,,,,,,,,,
Table 7.1 Electricity Overview,,,,,,,,,,,
,,,,,,,,,,,
Month,"Electricity Net Generation, Electric Power Sector","Electricity Net Generation, Commercial Sector","Electricity Net Generation, Industrial Sector","Electricity Net Generation, Total",Electricity Imports,Electricity Exports,Electricity Net Imports,Transmission and Distribution Losses and Unaccounted for,"Electricity Retail Sales, Total",Electricity Direct Use,"Electricity End Use, Total"
,(Billion Kilowatthours),(Billion Kilowatthours),(Billion Kilowatthours),(Billion Kilowatthours),(Billion Kilowatthours),(Billion Kilowatthours),(Billion Kilowatthours),(Billion Kilowatthours),(Billion Kilowatthours),(Billion Kilowatthours),(Billion Kilowatthours)
01/01/1973,159.913,Not Available,0.305,160.218,1.431,0.218,1.213,16.925,144.505,Not Available,144.505
02/01/1973,143.257,Not Available,0.282,143.539,1.292,0.197,1.095,5.088,139.546,Not Available,139.546
03/01/1973,147.847,Not Available,0.312,148.158,1.431,0.218,1.213,12.269,137.102,Not Available,137.102
04/01/1973,139.292,Not Available,0.298,139.589,1.385,0.211,1.174,9.397,131.366,Not Available,131.366
05/01/1973,147.088,Not Available,0.307,147.395,1.431,0.218,1.213,17.247,131.361,Not Available,131.361
06/01/1973,160.945,Not Available,0.298,161.244,1.385,0.211,1.174,22.124,140.293,Not Available,140.293
07/01/1973,173.467,Not Available,0.266,173.733,1.431,0.218,1.213,22.383,152.562,Not Available,152.562
08/01/1973,177.109,Not Available,0.257,177.365,1.431,0.218,1.213,21.097,157.481,Not Available,157.481
09/01/1973,156.651,Not Available,0.224,156.875,1.385,0.211,1.174,0.739,157.31,Not Available,157.31
10/01/1973,153.954,Not Available,0.244,154.197,1.431,0.218,1.213,9.368,146.042,Not Available,146.042
11/01/1973,147.881,Not Available,0.257,148.138,1.385,0.211,1.174,11.169,138.142,Not Available,138.142
12/01/1973,153.307,Not Available,0.298,153.605,1.431,0.218,1.213,17.618,137.199,Not Available,137.199
01/01/1974,157.254,Not Available,0.301,157.555,1.31,0.232,1.078,14.647,143.986,Not Available,143.986
02/01/1974,142.474,Not Available,0.274,142.748,1.183,0.209,0.974,6.985,136.737,Not Available,136.737
03/01/1974,150.048,Not Available,0.294,150.342,1.31,0.232,1.078,15.468,135.952,Not Available,135.952
04/01/1974,142.021,Not Available,0.291,142.312,1.267,0.224,1.043,10.348,133.007,Not Available,133.007
05/01/1974,153.513,Not Available,0.3,153.813,1.31,0.232,1.078,21.814,133.077,Not Available,133.077
06/01/1974,156.161,Not Available,0.279,156.44,1.267,0.224,1.043,15.552,141.931,Not Available,141.931
07/01/1974,177.992,Not Available,0.255,178.247,1.31,0.232,1.078,27.814,151.511,Not Available,151.511
08/01/1974,173.879,Not Available,0.24,174.119,1.31,0.232,1.078,17.085,158.112,Not Available,158.112
09/01/1974,152.239,Not Available,0.229,152.467,1.267,0.224,1.043,-0.108,153.619,Not Available,153.619
10/01/1974,151.978,Not Available,0.217,152.196,1.31,0.232,1.078,11.919,141.355,Not Available,141.355
11/01/1974,149.844,Not Available,0.227,150.071,1.267,0.224,1.043,15.33,135.784,Not Available,135.784
12/01/1974,159.737,Not Available,0.272,160.009,1.31,0.232,1.078,20.235,140.852,Not Available,140.852
01/01/1975,164.325,Not Available,0.298,164.623,0.957,0.432,0.525,15.754,149.394,Not Available,149.394
02/01/1975,147.084,Not Available,0.265,147.349,0.864,0.39,0.474,4.85,142.973,Not Available,142.973
03/01/1975,155.481,Not Available,0.279,155.76,0.957,0.432,0.525,15.536,140.749,Not Available,140.749
04/01/1975,146.217,Not Available,0.278,146.495,0.926,0.418,0.508,11.17,135.833,Not Available,135.833
05/01/1975,153.231,Not Available,0.3,153.531,0.957,0.432,0.525,20.488,133.568,Not Available,133.568
06/01/1975,162.442,Not Available,0.275,162.717,0.926,0.418,0.508,20.23,142.996,Not Available,142.996
07/01/1975,176.816,Not Available,0.241,177.057,0.957,0.432,0.525,23.378,154.204,Not Available,154.204
08/01/1975,179.714,Not Available,0.217,179.931,0.957,0.432,0.525,19.554,160.902,Not Available,160.902
09/01/1975,155.223,Not Available,0.218,155.441,0.926,0.418,0.508,-1.792,157.741,Not Available,157.741
10/01/1975,154.949,Not Available,0.239,155.188,0.957,0.432,0.525,13.895,141.818,Not Available,141.818
11/01/1975,152.795,Not Available,0.24,153.035,0.926,0.418,0.508,14.284,139.26,Not Available,139.26
12/01/1975,169.372,Not Available,0.256,169.628,0.957,0.432,0.525,22.501,147.653,Not Available,147.653
