U.S. Energy Information Administration,,,,,,,
February 2020 Monthly Energy Review,,,,,,,
,,,,,,,
0,,,,,,,
,,,,,,,
"Release Date: February 25, 2020",,,,,,,
"Next Update: March 26, 2020",,,,,,,
,,,,,,,
Table 9.9 Cost of Fossil-Fuel Receipts at Electric Generating Plants,,,,,,,
,,,,,,,
Month,Cost of Coal Receipts at Electric Generating Plants,Cost of Residual Fuel Receipts at Electric Generating Plants,Cost of Distillate Fuel Receipts at Electric Generating Plants,Costs of Petroleum Coke Receipts at Electric Generating Plants,Costs of Total Petroleum Receipts at Electric Generating Plants,Cost of Natural Gas Receipts at Electric Generating Plants,Cost of Fossil Fuel Receipts at Electric Generating Plants
,"(Dollars per Million Btu, Including Taxes)","(Dollars per Million Btu, Including Taxes)","(Dollars per Million Btu, Including Taxes)","(Dollars per Million Btu, Including Taxes)","(Dollars per Million Btu, Including Taxes)","(Dollars per Million Btu, Including Taxes)","(Dollars per Million Btu, Including Taxes)"
1973 January,0.378,0.658,Not Available,Not Available,0.669,0.299,0.436
1973 February,0.385,0.665,Not Available,Not Available,0.677,0.311,0.439
1973 March,0.389,0.678,Not Available,Not Available,0.684,0.319,0.441
1973 April,0.394,0.687,Not Available,Not Available,0.694,0.333,0.439
1973 May,0.395,0.702,Not Available,Not Available,0.71,0.337,0.44
1973 June,0.4,0.692,Not Available,Not Available,0.708,0.338,0.445
1973 July,0.398,0.717,Not Available,Not Available,0.728,0.337,0.453
1973 August,0.398,0.749,Not Available,Not Available,0.769,0.339,0.461
1973 September,0.408,0.794,Not Available,Not Available,0.818,0.349,0.488
1973 October,0.419,0.861,Not Available,Not Available,0.885,0.355,0.502
1973 November,0.44,1.023,Not Available,Not Available,1.04,0.357,0.563
1973 December,0.455,1.185,Not Available,Not Available,1.204,0.363,0.612
1974 January,0.514,1.571,Not Available,Not Available,1.614,0.373,0.744
1974 February,0.569,1.834,Not Available,Not Available,1.854,0.398,0.815
1974 March,0.608,1.863,Not Available,Not Available,1.873,0.425,0.809
1974 April,0.64,1.846,Not Available,Not Available,1.849,0.436,0.811
1974 May,0.659,1.858,Not Available,Not Available,1.856,0.44,0.813
1974 June,0.697,1.924,Not Available,Not Available,1.929,0.479,0.875
1974 July,0.729,1.925,Not Available,Not Available,1.946,0.498,0.922
